correct_result,count,metric
True negative,481,grz_value
False negative,37,grz_value
True positive,23,grz_value
False positive,8,grz_value
True negative,487,gfz_value
False negative,33,gfz_value
True positive,19,gfz_value
False positive,3,gfz_value
True negative,526,hw100_value
False negative,12,hw100_value
True positive,5,hw100_value
True negative,522,hw10_value
False negative,1,hw10_value
True negative,509,grundwasser_value
True positive,6,grundwasser_value
False positive,5,grundwasser_value
False negative,1,grundwasser_value
True negative,513,eg_fok_value
False negative,12,eg_fok_value
True positive,9,eg_fok_value
False positive,3,eg_fok_value
True negative,513,eg_fok_unit
False negative,12,eg_fok_unit
True positive,9,eg_fok_unit
False positive,3,eg_fok_unit
True negative,519,gok_value
False positive,2,gok_value
True positive,2,gok_value
True negative,519,gok_unit
False positive,2,gok_unit
True positive,2,gok_unit
True negative,520,fok_value
False negative,2,fok_value
False positive,1,fok_value
True positive,1,fok_value
True negative,520,fok_unit
False negative,2,fok_unit
False positive,1,fok_unit
True positive,1,fok_unit
