Nummer,Datum des Inkrafttretens,Stadt/Gemeinde
Großostheim_049-000,1970-11-26,Großostheim
Großostheim_049-002,2010-12-09,Großostheim
Großostheim_055-000,1964-09-22,Großostheim
Großostheim_056-001,1981-05-08,Großostheim
Großostheim_055-001,1995-12-07,Großostheim
Großostheim_054-000,2008-06-05,Großostheim
Großostheim_056-002,2010-12-09,Großostheim
Großostheim_055-002,2011-02-17,Großostheim
Großostheim_069-000,2012-03-22,Großostheim
Großostheim_063-006,2003-08-21,Großostheim
Großostheim_061-000,1975-05-16,Großostheim
Großostheim_064-000,1977-01-24,Großostheim
Großostheim_064-001,1978-04-21,Großostheim
Großostheim_064-002,1979-03-02,Großostheim
Großostheim_064-003,1983-10-21,Großostheim
Großostheim_061-005,1994-09-08,Großostheim
Großostheim_059-000,1994-11-24,Großostheim
Großostheim_064-004,1995-12-07,Großostheim
Großostheim_059-001,1996-02-08,Großostheim
Großostheim_059-002,1996-05-23,Großostheim
Großostheim_059-003,1997-07-24,Großostheim
Großostheim_058-000,1997-10-16,Großostheim
Großostheim_059-004,1998-02-26,Großostheim
Großostheim_062-000,1999-02-11,Großostheim
Großostheim_062-002,2010-12-09,Großostheim
Großostheim_064-005,2010-12-09,Großostheim
Großostheim_059-006,2010-12-16,Großostheim
Großostheim_075-000,2015-11-19,Großostheim
Großostheim_061-004,1983-01-28,Großostheim
Großostheim_061-002,1987-05-15,Großostheim
Großostheim_061-003,1988-12-02,Großostheim
Großostheim_061-007,1997-10-16,Großostheim
Großostheim_058-001,1999-02-11,Großostheim
Großostheim_062-001,2001-06-13,Großostheim
Großostheim_061-009,2005-06-23,Großostheim
017_000,1988-04-22,Mömlingen
Großostheim_080-000,1964-09-07,Großostheim
Großostheim_049-001,1995-02-09,Großostheim
Großostheim_052-000,2006-07-20,Großostheim
Großostheim_052-001,2010-04-22,Großostheim
Großostheim_057-000,1976-01-01,Großostheim
Großostheim_051-000,1983-10-28,Großostheim
Großostheim_053-001,1984-09-21,Großostheim
Großostheim_053-002,1989-07-14,Großostheim
Großostheim_051-001,1989-08-18,Großostheim
Großostheim_057-001,1995-02-09,Großostheim
Großostheim_057-002,1995-04-20,Großostheim
Großostheim_057-003,1997-04-17,Großostheim
Großostheim_050-006,2006-06-22,Großostheim
Großostheim_051-002,2010-12-09,Großostheim
Großostheim_053-003,2010-12-09,Großostheim
Ggroßostheim_081-000,2017-10-26,Großostheim
Großostheim_045-000,1967-07-18,Großostheim
Großostheim_045-001,2010-12-09,Großostheim
Großostheim_035-000,1967-07-18,Großostheim
Großostheim_036-000,1973-09-07,Großostheim
Großostheim_035-001,1993-03-25,Großostheim
Großostheim_036-001,2010-12-09,Großostheim
Großostheim_035-002,2010-12-09,Großostheim
Großostheim_067-000,1977-06-16,Großostheim
Großostheim_061-001,1987-02-13,Großostheim
Großostheim_061-008,2002-10-17,Großostheim
Stockstadt_072-000,2002-06-14,Stockstadt a.Main
Stockstadt_015-007,2008-07-25,Stockstadt a.Main
Stockstadt_040-001,2009-02-27,Stockstadt a.Main
Stockstadt_050-003,2012-02-02,Stockstadt a.Main
Stockstadt_110-000,1988-01-29,Stockstadt a.Main
Stockstadt_110-002,2008-09-05,Stockstadt a.Main
333_1,2002-09-27,Stadt Alzenau i. UFr.
333_16,2002-09-27,Stadt Alzenau i. UFr.
333_17,2011-11-02,Stadt Alzenau i. UFr.
306_4,1994-10-25,Stadt Alzenau i. UFr.
306_13,1979-09-07,Stadt Alzenau i. UFr.
306_6,1985-10-17,Stadt Alzenau i. UFr.
306_1,1991-10-18,Stadt Alzenau i. UFr.
005_000,1992-12-11,Mömlingen
019_000,1981-07-30,Mömlingen
008_000,1990-10-05,Mömlingen
Großostheim_042-000,1964-03-09,Großostheim
Großostheim_048-000,1969-02-07,Großostheim
Großostheim_039-000,1976-03-05,Großostheim
Großostheim_046-000,1977-09-16,Großostheim
Großostheim_046-001,1979-03-09,Großostheim
Großostheim_040-000,1980-01-25,Großostheim
Großostheim_047-001,1981-03-13,Großostheim
Großostheim_046-002,1982-02-26,Großostheim
Großostheim_038-000,1989-11-10,Großostheim
Großostheim_038-001,1993-07-29,Großostheim
Großostheim_038-002,1996-02-22,Großostheim
Großostheim_040-002,1996-05-15,Großostheim
Großostheim_038-003,1996-07-25,Großostheim
Großostheim_038-004,1996-08-01,Großostheim
Großostheim_040-001,1997-02-20,Großostheim
Großostheim_038-005,1997-12-04,Großostheim
Großostheim_038-006,2002-09-19,Großostheim
Großostheim_042-001,2010-12-09,Großostheim
Großostheim_040-003,2010-12-09,Großostheim
Großostheim_046-003,2010-12-09,Großostheim
Großostheim_039-001,2010-12-09,Großostheim
Großostheim_047-002,2010-12-09,Großostheim
Großostheim_038-007,2010-12-09,Großostheim
Großostheim_068-000,2012-04-11,Großostheim
Großostheim_038-008,2015-07-16,Großostheim
Großostheim_014-000,1980-10-31,Großostheim
Großostheim_037-001,1982-05-28,Großostheim
Großostheim_041-000,1984-10-26,Großostheim
Großostheim_037-002,1984-10-26,Großostheim
Großostheim_044-000,1985-01-25,Großostheim
Großostheim_043-000,1988-07-15,Großostheim
Großostheim_041-001,2000-06-15,Großostheim
Großostheim_043-001,2001-05-31,Großostheim
Großostheim_041-002,2001-10-11,Großostheim
Großostheim_041-003,2002-05-16,Großostheim
Großostheim_079-000,2008-10-30,Großostheim
Großostheim_037-003,2010-12-09,Großostheim
Großostheim_031-005,2011-04-21,Großostheim
Großostheim_040-004,2018-08-30,Großostheim
Großostheim_079-000_1,2019-06-06,Großostheim
Großostheim_031-000,1977-07-27,Großostheim
Großostheim_023-000,1989-02-03,Großostheim
Großostheim_030-000,1989-04-28,Großostheim
Großostheim_031-003,1991-04-25,Großostheim
Großostheim_023-001,1991-05-02,Großostheim
Großostheim_030-001,1992-01-30,Großostheim
Großostheim_031-004,1994-02-17,Großostheim
Großostheim_030-002,2003-06-26,Großostheim
Großostheim_023-002,2005-06-16,Großostheim
Großostheim_030-003,2005-06-16,Großostheim
Großostheim_018-000,1983-05-06,Großostheim
Großostheim_018-001,1989-09-22,Großostheim
Großostheim_018-007,2002-06-27,Großostheim
Großostheim_019-000,2006-07-21,Großostheim
Großostheim_019-001,2014-10-31,Großostheim
Großostheim_078-000,2002-03-07,Großostheim
Großostheim_077_000,2003-06-12,Großostheim
Stockstadt_030-009,2010-12-10,Stockstadt a.Main
Stockstadt_005-000,1977-12-09,Stockstadt a.Main
Stockstadt_035-001,1988-12-16,Stockstadt a.Main
Stockstadt_105-000,1992-09-18,Stockstadt a.Main
Stockstadt_115-000,1994-09-22,Stockstadt a.Main
Stockstadt_120-000,1997-03-07,Stockstadt a.Main
Stockstadt_110-001,1994-10-28,Stockstadt a.Main
Stockstadt_027-000,2003-10-02,Stockstadt a.Main
Stockstadt_055-002,2006-11-24,Stockstadt a.Main
322_15,2017-12-01,Stadt Alzenau i. UFr.
306_29,1967-10-05,Stadt Alzenau i. UFr.
306_27,1971-08-13,Stadt Alzenau i. UFr.
306_52,1984-05-11,Stadt Alzenau i. UFr.
306_34,2004-05-07,Stadt Alzenau i. UFr.
306_17,2008-03-14,Stadt Alzenau i. UFr.
306_40,2010-07-30,Stadt Alzenau i. UFr.
306_53,1985-09-13,Stadt Alzenau i. UFr.
306_54,1994-06-30,Stadt Alzenau i. UFr.
306_51,1996-11-08,Stadt Alzenau i. UFr.
306_7,1996-11-08,Stadt Alzenau i. UFr.
306_37,1996-11-22,Stadt Alzenau i. UFr.
306_38,2005-05-27,Stadt Alzenau i. UFr.
306_39,2011-12-30,Stadt Alzenau i. UFr.
306_41,2013-05-31,Stadt Alzenau i. UFr.
306_48,2017-09-22,Stadt Alzenau i. UFr.
012_000,1964-04-03,Mömlingen
002_000,1964-09-04,Mömlingen
009_000,1967-01-27,Mömlingen
001_000,1981-07-24,Mömlingen
004_000,1982-02-26,Mömlingen
014_000,1983-03-18,Mömlingen
015_000,1992-05-15,Mömlingen
008_001,1998-10-16,Mömlingen
001_001,2014-05-16,Mömlingen
011_000,1974-05-17,Mömlingen
006_000,1976-04-21,Mömlingen
007_000,1995-12-15,Mömlingen
014_001,2000-10-27,Mömlingen
014_002,2003-10-10,Mömlingen
Großostheim_028-000,1983-01-07,Großostheim
Großostheim_004-000,1965-03-13,Großostheim
Großostheim_022-000,1967-07-01,Großostheim
Großostheim_004-001,1974-06-21,Großostheim
Großostheim_004-002,1974-09-12,Großostheim
Großostheim_033-000,1976-01-23,Großostheim
Großostheim_021-000,1979-08-17,Großostheim
Großostheim_013-000,1980-10-31,Großostheim
Großostheim_031-001,1981-10-16,Großostheim
Großostheim_006-000,1982-04-30,Großostheim
Großostheim_005-000,1982-07-30,Großostheim
Großostheim_005-001,1984-12-21,Großostheim
Großostheim_031-002,1985-01-18,Großostheim
Großostheim_006-001,1986-04-18,Großostheim
Großostheim_021-001,1989-09-08,Großostheim
Großostheim_004-003,1992-06-12,Großostheim
Großostheim_001-000,1995-12-05,Großostheim
Großostheim_034-000,1996-02-22,Großostheim
Großostheim_002-000,1996-05-16,Großostheim
Großostheim_024-000,2000-12-21,Großostheim
Großostheim_024-001,2002-07-11,Großostheim
Großostheim_006-002,2004-03-13,Großostheim
Großostheim_004-004,2004-05-28,Großostheim
Großostheim_024-002,2005-08-11,Großostheim
Großostheim_024-003,2007-01-11,Großostheim
Großostheim_021-002,2010-07-16,Großostheim
Großostheim_022-003,2010-12-10,Großostheim
Großostheim_002-001,2012-12-02,Großostheim
Großostheim_002-002,2016-03-11,Großostheim
