id,Hinweis zu den Daten,Name,Nummer,Beschreibung,Gemeindekennzeichen,Stadt/Gemeinde,Planart,Datum des Inkrafttretens,Rechtsstand(vorbehaltlich aktueller Änderungen),URL des Rasterbildes,URL zur Legende,URL der textlichen Festsetzung
0,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Obernburg Nord,027_000,Obernburg Nord,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1963-04-18,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Obernburg_Nord/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Obernburg_Nord/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Obernburg_Nord/Festsetzungen.pdf
1,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Am oberen neuen Weg,006_000,Am oberen neuen Weg,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1963-10-11,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Am_Oberen_Neuen_Weg/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Oberen_Neuen_Weg/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Oberen_Neuen_Weg/Festsetzungen.pdf
2,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Volksschule,038_000,Volksschule,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1971-09-06,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Volksschule/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Volksschule/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Volksschule/Festsetzungen.pdf
3,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Am Graben - Brennerweg,002_000,Am Graben - Brennerweg,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1980-07-01,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg/Festsetzungen.pdf
4,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Rüdhölle,031_000,Rüdhölle,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1980-07-01,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle/Festsetzungen.pdf
5,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Am Graben - Brennerweg - Erweiterung,002_001,Am Graben - Brennerweg - Erweiterung,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1984-07-13,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg_Erweiterung/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg_Erweiterung/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Graben_Brennerweg_Erweiterung/Festsetzungen.pdf
6,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Am Mühlrain III,004_000,Am Mühlrain III,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1988-10-12,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Am_Muehlrain_III/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Muehlrain_III/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Am_Muehlrain_III/Festsetzungen.pdf
7,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Rüdhölle - 1. Änderung,031_001,Rüdhölle - 1. Änderung,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1992-04-01,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle_1_Aenderung/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle_1_Aenderung/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Ruedhoelle_1_Aenderung/Festsetzungen.pdf
8,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Sanierungsgebiet Altstadt,032_000,Sanierungsgebiet Altstadt,9676145,Obernburg a.Main,Ergänzungssatzung,1992-04-16,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Sanierungsgebiet_Altstadt/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Sanierungsgebiet_Altstadt/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Sanierungsgebiet_Altstadt/Festsetzungen.pdf
9,"Für die Richtigkeit, Aktualität und Vollständigkeit der Daten wird keine Gewähr übernommen. Dieser Dienst ersetzt nicht die Rechtsverbindlichkeit der Originalpläne. Nur der Originalplan gibt im Sinne des BauGB die gültige Rechtslage wieder. Für rechtsverbindliche Auskünfte wenden Sie sich bitte an die zuständige Kommune.",Kreßstrasse,018_000,Kreßstrasse,9676145,Obernburg a.Main,qualifizierter Bebauungsplan,1992-05-20,Rechtskraft,http://gis.kreis-mil.de/bpl/Obernburg/Kressstrasse/Rechtsplan.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Kressstrasse/Festsetzungen.pdf,http://gis.kreis-mil.de/bpl/Obernburg/Kressstrasse/Festsetzungen.pdf
