id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,hw100_value,hw10_value,grundwasser_value
319,319_8.jpg,1372,45,1417,0.015025,,,
4484,4484_3.jpg,1066,31,1097,0.011559,,,
20952,20952_46.jpg,1447,45,1492,0.015775,,,
3121,3121_3.jpg,1323,45,1368,0.014535,,,
20952,20952_4.jpg,1983,45,2028,0.021135,,,
6667,6667_7.jpg,1308,45,1353,0.014385,,,
19768,19768_17.jpg,1124,45,1169,0.012545,,,
4781,4781_7.jpg,905,45,950,0.010355,,,
20952,20952_65.jpg,1230,24,1254,0.012996,,,
6500,6500_9.jpg,1391,45,1436,0.015215,,,
19768,19768_14.jpg,2054,45,2099,0.021845,,,
20952,20952_112.jpg,1325,45,1370,0.014555,,,
20952,20952_76.jpg,1738,45,1783,0.018685,,,
316,316_3.jpg,1336,45,1381,0.014665,,,
5261,5261_9.jpg,973,45,1018,0.011035,,,
15597,15597_0.jpg,1016,45,1061,0.011465,,,
16091,16091_9.jpg,749,45,794,0.008795,,,
25582,25582_13.jpg,1482,45,1527,0.016125,,,
17,17_0.jpg,1135,45,1180,0.012655,,,
20952,20952_83.jpg,1467,24,1491,0.015366,,,
20952,20952_98.jpg,1540,24,1564,0.016096,,,
765,765_0.jpg,7159,45,7204,0.072895,,,
19768,19768_16.jpg,1263,24,1287,0.013326,,,
5311,5311_0.jpg,1167,45,1212,0.012975,,,
3869,3869_2.jpg,1976,45,2021,0.021065,,,
4781,4781_1.jpg,1469,45,1514,0.015995,,,
25582,25582_9.jpg,818,45,863,0.009485,,,
20952,20952_74.jpg,1705,45,1750,0.018355,,,
20952,20952_111.jpg,768,45,813,0.008985,,,
3869,3869_0.jpg,1441,45,1486,0.015715,,,
20952,20952_115.jpg,1301,45,1346,0.014315,,,
20963,20963_0.jpg,1438,45,1483,0.015685,,,
20952,20952_72.jpg,1640,45,1685,0.017705,,,
4781,4781_0.jpg,1065,24,1089,0.011346,,,
20952,20952_77.jpg,1209,45,1254,0.013395,,,
20952,20952_124.jpg,936,45,981,0.010665,,,
468,468_0.jpg,1426,45,1471,0.015565,,,
1,1_1.jpg,1486,24,1510,0.015556,,,
20952,20952_107.jpg,1585,45,1630,0.017155,,,
20952,20952_113.jpg,1328,45,1373,0.014585,,,
5261,5261_13.jpg,1614,24,1638,0.016836,,,
5311,5311_6.jpg,1240,24,1264,0.013096,,,
66,66_0.jpg,984,45,1029,0.011145,,,
12641,12641_2.jpg,1521,24,1545,0.015906,,,
5029,5029_0.jpg,766,24,790,0.008356,,,
316,316_6.jpg,1591,45,1636,0.017215,,,
1,1_2.jpg,1486,45,1531,0.016165,,,
20952,20952_80.jpg,1488,45,1533,0.016185,,,
20952,20952_19.jpg,1000,45,1045,0.011305,,,
17,17_3.jpg,1119,45,1164,0.012495,,,
20952,20952_96.jpg,1415,45,1460,0.015455,,,
5261,5261_0.jpg,928,45,973,0.010585,,,
66,66_4.jpg,1421,45,1466,0.015515,,,
16091,16091_11.jpg,697,45,742,0.008275,,,
12641,12641_3.jpg,1293,45,1338,0.014235,,,
20952,20952_97.jpg,1395,45,1440,0.015255,,,
20952,20952_41.jpg,1858,45,1903,0.019885,,,
20105,20105_0.jpg,7114,45,7159,0.072445,,,
25582,25582_1.jpg,1541,45,1586,0.016715,,,
16091,16091_1.jpg,1396,45,1441,0.015265,,,
6667,6667_1.jpg,865,45,910,0.009955,,,
67,67_3.jpg,1065,45,1110,0.011955,,,
4916,4916_0.jpg,2283,45,2328,0.024135,,,
20952,20952_121.jpg,1310,45,1355,0.014405,,,
67,67_0.jpg,1065,45,1110,0.011955,,,
66,66_1.jpg,1520,45,1565,0.016505,,,
3121,3121_6.jpg,2183,24,2207,0.022526,,,
25339,25339_0.jpg,1645,45,1690,0.017755,,,
20952,20952_119.jpg,1281,45,1326,0.014115,,,
16091,16091_3.jpg,1403,45,1448,0.015335,,,
6667,6667_5.jpg,1218,45,1263,0.013485,,,
16091,16091_5.jpg,1594,45,1639,0.017245,,,
16091,16091_10.jpg,683,45,728,0.008135,,,
6500,6500_3.jpg,910,45,955,0.010405,,,
20952,20952_43.jpg,1751,45,1796,0.018815,,,
20952,20952_3.jpg,2104,45,2149,0.022345,,,
20952,20952_102.jpg,763,24,787,0.008326,,,
4484,4484_1.jpg,1003,45,1048,0.011335,,,
5261,5261_15.jpg,1117,45,1162,0.012475,,,
17857,17857_0.jpg,716,45,761,0.008465,,,
3869,3869_7.jpg,1141,45,1186,0.012715,,,
20952,20952_122.jpg,1295,45,1340,0.014255,,,
4781,4781_10.jpg,1470,45,1515,0.016005,,,
4255,4255_0.jpg,5226,45,5271,0.053565,,,
67,67_2.jpg,1250,45,1295,0.013805,,,
319,319_9.jpg,1278,45,1323,0.014085,,,
4780,4780_0.jpg,4392,45,4437,0.045225,,,
15597,15597_4.jpg,1220,45,1265,0.013505,,,
5917,5917_2.jpg,1648,45,1693,0.017785,,,
6212,6212_1.jpg,826,45,871,0.009565,,,
