id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,eg_fok_value,eg_fok_unit,gok_value,gok_unit,fok_value,fok_unit
319,319_8.jpg,1649,24,1673,0.017186,,,,,,
4484,4484_3.jpg,1343,24,1367,0.014126,,,,,,
20952,20952_46.jpg,1724,24,1748,0.017936,,,,,,
3121,3121_3.jpg,1600,24,1624,0.016696,,,,,,
20952,20952_4.jpg,2260,24,2284,0.023296,,,,,,
6667,6667_7.jpg,1585,24,1609,0.016546,,,,,,
19768,19768_17.jpg,1401,24,1425,0.014706,,,,,,
4781,4781_7.jpg,1182,24,1206,0.012516,,,,,,
20952,20952_65.jpg,1507,24,1531,0.015766,,,,,,
6500,6500_9.jpg,1668,24,1692,0.017376,,,,,,
19768,19768_14.jpg,2331,24,2355,0.024006,,,,,,
20952,20952_112.jpg,1602,24,1626,0.016716,,,,,,
20952,20952_76.jpg,2015,24,2039,0.020846,,,,,,
316,316_3.jpg,1613,24,1637,0.016826,,,,,,
5261,5261_9.jpg,1250,24,1274,0.013196,,,,,,
15597,15597_0.jpg,1293,24,1317,0.013626,,,,,,
16091,16091_9.jpg,1026,24,1050,0.010956,,,,,,
25582,25582_13.jpg,1759,24,1783,0.018286,,,,,,
17,17_0.jpg,1412,24,1436,0.014816,,,,,,
20952,20952_83.jpg,1744,24,1768,0.018136,,,,,,
20952,20952_98.jpg,1817,24,1841,0.018866,,,,,,
765,765_0.jpg,7436,24,7460,0.075056,,,,,,
19768,19768_16.jpg,1540,24,1564,0.016096,,,,,,
5311,5311_0.jpg,1444,24,1468,0.015136,,,,,,
3869,3869_2.jpg,2253,24,2277,0.023226,,,,,,
4781,4781_1.jpg,1746,43,1789,0.018707,432.5,müNN,,,,
25582,25582_9.jpg,1095,24,1119,0.011646,,,,,,
20952,20952_74.jpg,1982,24,2006,0.020516,,,,,,
20952,20952_111.jpg,1045,24,1069,0.011146,,,,,,
3869,3869_0.jpg,1718,24,1742,0.017876,,,,,,
20952,20952_115.jpg,1578,24,1602,0.016476,,,,,,
20963,20963_0.jpg,1715,24,1739,0.017846,,,,,,
20952,20952_72.jpg,1917,24,1941,0.019866,,,,,,
4781,4781_0.jpg,1342,24,1366,0.014116,,,,,,
20952,20952_77.jpg,1486,24,1510,0.015556,,,,,,
