id,filename,llm_prompt_tokens,llm_completion_tokens,total_llm_token_count,total_llm_costs_in_euro,grz_value,gfz_value,grz,gfz
319,319_8.jpg,1224,30,1254,0.01311,,,,
4484,4484_3.jpg,918,30,948,0.01005,,,,
20952,20952_46.jpg,1299,30,1329,0.013859999999999999,,,,
3121,3121_3.jpg,1175,30,1205,0.01262,,,,
20952,20952_4.jpg,1835,30,1865,0.01922,,,,
6667,6667_7.jpg,1160,30,1190,0.012469999999999998,,,,
19768,19768_17.jpg,976,30,1006,0.010629999999999999,,,,
4781,4781_7.jpg,757,30,787,0.00844,,,,
20952,20952_65.jpg,1082,30,1112,0.01169,,,,
6500,6500_9.jpg,1243,30,1273,0.013300000000000001,,,,
19768,19768_14.jpg,1906,30,1936,0.01993,,,,
316,316_3.jpg,1188,30,1218,0.01275,,,,
5261,5261_9.jpg,825,30,855,0.00912,,,,
15597,15597_0.jpg,868,30,898,0.00955,,,,
16091,16091_9.jpg,601,30,631,0.00688,,,,
25582,25582_13.jpg,1334,30,1364,0.01421,,,,
17,17_0.jpg,987,33,1020,0.010827,0.2,,,
765,765_0.jpg,7011,30,7041,0.07098,,,,
19768,19768_16.jpg,1115,36,1151,0.012194,0.8,0.8,,
5311,5311_0.jpg,1019,30,1049,0.011059999999999999,,,,
3869,3869_2.jpg,1828,30,1858,0.01915,,,,
4781,4781_1.jpg,1321,33,1354,0.014166999999999999,0.8,,,
25582,25582_9.jpg,670,30,700,0.00757,,,,
3869,3869_0.jpg,1293,30,1323,0.013799999999999998,,,,
20963,20963_0.jpg,1290,30,1320,0.01377,,,,
4781,4781_0.jpg,917,30,947,0.01004,,,,
468,468_0.jpg,1278,30,1308,0.013649999999999999,,,,
1,1_1.jpg,1338,36,1374,0.014424000000000001,0.4,0.8,,
5261,5261_13.jpg,1466,30,1496,0.015529999999999999,,,,
5311,5311_6.jpg,1092,30,1122,0.01179,,,,
66,66_0.jpg,836,30,866,0.009229999999999999,,,,
12641,12641_2.jpg,1373,30,1403,0.0146,,,,
5029,5029_0.jpg,618,30,648,0.00705,,,,
316,316_6.jpg,1443,30,1473,0.0153,,,,
1,1_2.jpg,1338,30,1368,0.01425,,,,
17,17_3.jpg,971,30,1001,0.010579999999999999,,,,
5261,5261_0.jpg,780,30,810,0.00867,,,,
66,66_4.jpg,1273,30,1303,0.0136,,,,
16091,16091_11.jpg,549,30,579,0.006360000000000001,,,,
12641,12641_3.jpg,1145,30,1175,0.01232,,,,
20105,20105_0.jpg,6966,30,6996,0.07053,,,,
25582,25582_1.jpg,1393,30,1423,0.014799999999999999,,,,
16091,16091_1.jpg,1248,33,1281,0.013437,,0.5,,
6667,6667_1.jpg,717,30,747,0.00804,,,,
67,67_3.jpg,917,30,947,0.01004,,,,
4916,4916_0.jpg,2135,36,2171,0.022393999999999997,0.3,0.34,,
67,67_0.jpg,917,30,947,0.01004,,,,
66,66_1.jpg,1372,30,1402,0.01459,,,,
3121,3121_6.jpg,2035,30,2065,0.021220000000000003,,,,
25339,25339_0.jpg,1497,30,1527,0.01584,,,,
6667,6667_5.jpg,1070,34,1104,0.011686000000000002,0.25,2.0,,
16091,16091_10.jpg,535,30,565,0.006220000000000001,,,,
6500,6500_3.jpg,762,30,792,0.00849,,,,
20952,20952_3.jpg,1956,30,1986,0.02043,,,,
4484,4484_1.jpg,855,30,885,0.00942,,,,
17857,17857_0.jpg,568,30,598,0.006549999999999999,,,,
3869,3869_7.jpg,993,30,1023,0.010799999999999999,,,,
4255,4255_0.jpg,5078,30,5108,0.05165000000000001,,,,
67,67_2.jpg,1102,30,1132,0.01189,,,,
319,319_9.jpg,1130,30,1160,0.012169999999999999,,,,
4780,4780_0.jpg,4244,33,4277,0.043397,0.8,,,
15597,15597_4.jpg,1072,30,1102,0.01159,,,,
5917,5917_2.jpg,1500,30,1530,0.01587,,,,
6212,6212_1.jpg,678,30,708,0.0076500000000000005,,,,
316,316_1.jpg,1093,36,1129,0.011974,0.2,0.4,,
1047,1047_2.jpg,1921,33,1954,0.020167,0.5,,,
319,319_4.jpg,742,30,772,0.00829,,,,
4519,4519_0.jpg,1815,30,1845,0.01902,,,,
1047,1047_1.jpg,1260,30,1290,0.01347,,,,
5560,5560_9.jpg,944,30,974,0.01031,,,,
16801,16801_2.jpg,815,30,845,0.009019999999999999,,,,
20952,20952_47.jpg,1293,30,1323,0.013799999999999998,,,,
5917,5917_4.jpg,1010,30,1040,0.010969999999999999,,,,
6500,6500_8.jpg,1183,30,1213,0.0127,,,,
5560,5560_7.jpg,1375,30,1405,0.01462,,,,
66,66_3.jpg,1310,30,1340,0.01397,,,,
5261,5261_12.jpg,1399,30,1429,0.01486,,,,
80,80_0.jpg,3900,33,3933,0.039957,0.5,,,
316,316_7.jpg,1050,30,1080,0.01137,,,,
25582,25582_8.jpg,1536,30,1566,0.01623,,,,
5311,5311_3.jpg,955,30,985,0.010419999999999999,,,,
566,566_2.jpg,1811,30,1841,0.01898,,,,
5560,5560_10.jpg,1269,30,1299,0.01356,,,,
15597,15597_1.jpg,1224,30,1254,0.01311,,,,
468,468_1.jpg,1654,30,1684,0.01741,,,,
12642,12642_0.jpg,1098,30,1128,0.011850000000000001,,,,
25582,25582_12.jpg,1332,30,1362,0.01419,,,,
25339,25339_5.jpg,1714,30,1744,0.018009999999999998,,,,
16801,16801_0.jpg,724,30,754,0.00811,,,,
4484,4484_2.jpg,1389,30,1419,0.014759999999999999,,,,
25339,25339_4.jpg,1844,30,1874,0.01931,,,,
66,66_2.jpg,1461,33,1494,0.015567000000000001,0.4,,,
5311,5311_5.jpg,878,30,908,0.009649999999999999,,,,
1047,1047_6.jpg,1329,30,1359,0.014159999999999999,,,,
20080,20080_0.jpg,3910,30,3940,0.039970000000000006,,,,
25582,25582_2.jpg,1334,30,1364,0.01421,,,,
247,247_0.jpg,2211,30,2241,0.022979999999999997,,,,
316,316_4.jpg,1610,30,1640,0.01697,,,,
5261,5261_8.jpg,1604,30,1634,0.01691,,,,
5560,5560_11.jpg,870,30,900,0.009569999999999999,,,,
3121,3121_1.jpg,1009,30,1039,0.01096,,,,
3869,3869_1.jpg,1946,36,1982,0.020504,0.35,1.2,,
