objectid,scanurl
748,http://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/Bebauungsplan_Mehlm_4._AEnderung.pdf
799,https://www.roedental.de/images/stories/rathaus/Bau-_und_Umweltsenat/BPl_Mahnberg%C3%A4cker_2.pdf
227,http://www.gemeinde-meeder.de/fileadmin/Dateien/B-Plan_Neida_Grundaecker_Legende.pdf
443,"https://www.grub-am-forst.de/vg_grub_am_forst/Grub%20a.Forst/Wirtschaft,%20Verkehr%20&%20Bauen/Bauleitplanung/Bebauungsplan%20%22Gewerbe-%20Industriegebiet%20Zeickhorn%20S%C3%BCd-Ost%20II%22/B-Plan%20Zeickhorn%20S%C3%BCd-Ost_II_Satzung%20mit%20Vermerken.pdf"
443,https://www.roedental.de/images/stories/rathaus/Bau-_und_Umweltsenat/Vorhabenbezogener_Bebauungsplan_Solarpark_Blumenrod.pdf
794,https://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/Bebauungsplan_Gro%C3%9Fheirath_Nordost/Vorhabenbez._BBPL_Solarpark_Gossenberg.pdf
621,https://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/Bebauungsplan_Gro%C3%9Fheirath_Nordost/Vorhabenbez._BBPL_AVA_Gossenberg.pdf
186,http://www.gemeindelautertal.de/gemeinde_lautertal/Wirtschaft%20(LauterTALER%20GG)%20&%20Bauen%20&%20Verkehr/Wohnbaugebiete/Festsetzung%20Reutersgasse.pdf
232,https://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/Bebauungsplan_Gro%C3%9Fheirath_Nordost/Vorhabenbez._BBPL_Solarpark_Gro%C3%9Fheirath.pdf
86,Dieser Bebauungsplan wurde noch nicht eingescannt
269,https://www.roedental.de/images/stories/rathaus/Bau-_und_Umweltsenat/HPSCANNER0257.pdf
21,http://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/holzhaeuser_weg_ganz_22_01_07.pdf
729,Dieser Bebauungsplan wurde noch nicht eingescannt
431,https://www.grossheirath.de/fileadmin/Dateien/Dateien/Bauen/BPlan_Stand___3_Abs._2.pdf
770,Dieser Bebauungsplan wurde noch nicht eingescannt
